0	[((86420803, 86456921, 0), 0), ((86456921, 86420803, 0), 11), ((86420803, 86518909, 0), 19), ((86518909, 86417963, 0), 31), ((86417963, 5382279682, 0), 36), ((5382279682, 86518871, 0), 41), ((86518871, 5382279678, 0), 52), ((5382279678, 86499546, 0), 65), ((86499546, 86417805, 0), 77), ((86417805, 86499543, 0), 81), ((86499543, 86480450, 0), 86), ((86480450, 86499536, 0), 90), ((86499536, 86499659, 0), 95), ((86499659, 86509465, 0), 99), ((86509465, 86519748, 0), 102), ((86519748, 5382279690, 0), 109), ((5382279690, 86431730, 0), 110), ((86431730, 86431719, 0), 129), ((86431719, 86431708, 0), 141), ((86431708, 86416948, 0), 145), ((86416948, 3604344025, 0), 172), ((3604344025, 86431672, 0), 183), ((86431672, 86431629, 0), 185), ((86431629, 86431620, 0), 204), ((86431620, 86431619, 0), 210), ((86431619, 86431607, 0), 212), ((86431607, 86382046, 0), 219), ((86382046, 5393400967, 0), 225), ((5393400967, 5393400955, 0), 247), ((5393400955, 86431098, 0), 268), ((86431098, 86416934, 0), 272), ('GOAL', 86416934, 272)]
1	[((86426495, 86596972, 0), 0), ((86596972, 86426495, 0), 2), ((86426495, 86431937, 0), 8), ((86431937, 86431956, 0), 40), ((86431956, 86431970, 0), 64), ((86431970, 86431978, 0), 83), ((86431978, 86431980, 0), 98), ((86431980, 86431990, 0), 101), ((86431990, 86431997, 0), 112), ((86431997, 5406929331, 0), 122), ((5406929331, 86432015, 0), 131), ((86432015, 86432019, 0), 137), ((86432019, 86432023, 0), 138), ((86432023, 86432036, 0), 142), ((86432036, 86432045, 0), 150), ((86432045, 86432074, 0), 160), ((86432074, 86432084, 0), 189), ((86432084, 86432101, 0), 201), ((86432101, 86432105, 0), 213), ((86432105, 86406781, 0), 218), ((86406781, 86430492, 0), 285), ((86430492, 86432131, 0), 289), ((86432131, 86431158, 0), 292), ((86431158, 86413439, 0), 325), ((86413439, 86375113, 0), 337), ('GOAL', 86375113, 337)]
2	[((86398389, 86398391, 0), 0), ((86398391, 86398389, 0), 2), ((86398389, 86398387, 0), 6), ((86398387, 86421566, 0), 12), ((86421566, 86500246, 0), 38), ('GOAL', 86500246, 38)]
3	[((86553744, 86457029, 0), 0), ((86457029, 86457003, 0), 1), ((86457003, 86456921, 0), 26), ((86456921, 86420803, 0), 28), ((86420803, 86518909, 0), 36), ((86518909, 86417963, 0), 48), ((86417963, 5382279682, 0), 54), ((5382279682, 86518871, 0), 58), ((86518871, 5382279678, 0), 68), ((5382279678, 86499546, 0), 81), ((86499546, 86417805, 0), 92), ((86417805, 86499543, 0), 97), ((86499543, 86480450, 0), 101), ((86480450, 86499536, 0), 105), ((86499536, 86499659, 0), 110), ((86499659, 86509465, 0), 114), ((86509465, 86519748, 0), 117), ((86519748, 5382279690, 0), 124), ((5382279690, 86431730, 0), 125), ((86431730, 86431719, 0), 144), ((86431719, 86431708, 0), 156), ((86431708, 86416948, 0), 160), ((86416948, 3604344025, 0), 187), ((3604344025, 86431672, 0), 197), ((86431672, 86431629, 0), 200), ((86431629, 86431620, 0), 219), ((86431620, 86431619, 0), 225), ((86431619, 86431607, 0), 227), ((86431607, 86382046, 0), 234), ((86382046, 5393400967, 0), 240), ((5393400967, 5393400955, 0), 262), ((5393400955, 86431098, 0), 283), ((86431098, 86416934, 0), 287), ('GOAL', 86416934, 287)]
4	[((86430305, 86495639, 0), 0), ((86495639, 86430305, 0), 6), ((86430305, 86430311, 0), 21), ((86430311, 86430319, 0), 25), ((86430319, 5915201531, 0), 39), ((5915201531, 5915201542, 0), 42), ((5915201542, 86456464, 0), 43), ((86456464, 86418837, 0), 58), ((86418837, 86575154, 0), 68), ((86575154, 86498303, 0), 73), ((86498303, 5600735599, 0), 77), ((5600735599, 86575168, 0), 78), ((86575168, 86508306, 0), 90), ((86508306, 86466788, 0), 101), ((86466788, 86431956, 0), 110), ((86431956, 86431970, 0), 123), ((86431970, 86431978, 0), 167), ((86431978, 86431980, 0), 183), ((86431980, 86431990, 0), 185), ((86431990, 86431997, 0), 197), ((86431997, 5406929331, 0), 207), ((5406929331, 86432015, 0), 216), ((86432015, 86432019, 0), 221), ((86432019, 86432023, 0), 222), ((86432023, 86432036, 0), 227), ((86432036, 86432045, 0), 235), ((86432045, 86432074, 0), 245), ((86432074, 86432084, 0), 274), ((86432084, 86432101, 0), 285), ((86432101, 86432105, 0), 298), ((86432105, 86406781, 0), 313), ((86406781, 86430492, 0), 432), ((86430492, 86432131, 0), 436), ((86432131, 86431158, 0), 438), ((86431158, 86413439, 0), 471), ((86413439, 86375113, 0), 483), ('GOAL', 86375113, 483)]
5	[((86432074, 86432084, 0), 0), ((86432084, 86432101, 0), 2), ((86432101, 86432105, 0), 14), ((86432105, 86406781, 0), 16), ((86406781, 86430492, 0), 50), ((86430492, 86432131, 0), 54), ((86432131, 86431158, 0), 57), ((86431158, 86413439, 0), 90), ((86413439, 86375113, 0), 102), ('GOAL', 86375113, 102)]
6	[((86508830, 86431780, 0), 0), ((86431780, 86499543, 0), 3), ((86499543, 86480450, 0), 9), ((86480450, 86499536, 0), 13), ((86499536, 86499659, 0), 19), ((86499659, 86509465, 0), 23), ((86509465, 86519748, 0), 26), ((86519748, 5382279690, 0), 33), ((5382279690, 86431730, 0), 34), ((86431730, 86431719, 0), 53), ((86431719, 86431708, 0), 65), ((86431708, 86416948, 0), 70), ((86416948, 3604344025, 0), 97), ((3604344025, 86431672, 0), 107), ((86431672, 86431629, 0), 110), ((86431629, 86431620, 0), 129), ((86431620, 86431619, 0), 135), ((86431619, 86431607, 0), 137), ((86431607, 86382046, 0), 143), ((86382046, 5393400967, 0), 149), ((5393400967, 5393400955, 0), 172), ((5393400955, 86431098, 0), 193), ((86431098, 86416934, 0), 197), ('GOAL', 86416934, 197)]
7	[((86422188, 86454741, 0), 0), ((86454741, 86457223, 0), 5), ((86457223, 86382627, 0), 15), ((86382627, 86520732, 0), 31), ((86520732, 86520734, 0), 32), ((86520734, 86520746, 0), 34), ((86520746, 86506050, 0), 38), ((86506050, 86520753, 0), 40), ((86520753, 86520755, 0), 42), ((86520755, 86509080, 0), 43), ((86509080, 86451372, 0), 47), ((86451372, 86520767, 0), 66), ((86520767, 86477498, 0), 69), ((86477498, 86520770, 0), 71), ((86520770, 86520777, 0), 74), ('GOAL', 86520777, 74)]
8	[((86499546, 5382279678, 0), 0), ((5382279678, 86499546, 0), 4), ((86499546, 86417805, 0), 16), ((86417805, 86499543, 0), 20), ((86499543, 86480450, 0), 25), ((86480450, 86499536, 0), 29), ((86499536, 86499659, 0), 35), ((86499659, 86509465, 0), 38), ((86509465, 86519748, 0), 42), ((86519748, 5382279690, 0), 49), ((5382279690, 86431730, 0), 50), ((86431730, 86431719, 0), 68), ((86431719, 86431708, 0), 80), ((86431708, 86416948, 0), 84), ((86416948, 3604344025, 0), 111), ((3604344025, 86431672, 0), 122), ((86431672, 86431629, 0), 124), ((86431629, 86431620, 0), 143), ((86431620, 86431619, 0), 149), ((86431619, 86431607, 0), 151), ((86431607, 86382046, 0), 158), ((86382046, 5393400967, 0), 164), ((5393400967, 5393400955, 0), 186), ((5393400955, 86431098, 0), 208), ((86431098, 86416934, 0), 211), ('GOAL', 86416934, 211)]
9	[((86413284, 86403174, 0), 0), ((86403174, 5600825113, 0), 1), ((5600825113, 86403161, 0), 6), ((86403161, 86434932, 0), 8), ((86434932, 86434937, 0), 14), ((86434937, 86434942, 0), 27), ((86434942, 86434945, 0), 32), ((86434945, 86434949, 0), 35), ((86434949, 86414232, 0), 40), ((86414232, 86434950, 0), 41), ((86434950, 86434958, 0), 44), ((86434958, 86428266, 0), 49), ((86428266, 86432015, 0), 56), ((86432015, 86432019, 0), 59), ((86432019, 86432023, 0), 60), ((86432023, 86432036, 0), 65), ((86432036, 86432045, 0), 72), ((86432045, 86432074, 0), 82), ((86432074, 86432084, 0), 111), ((86432084, 86432101, 0), 123), ((86432101, 86432105, 0), 135), ((86432105, 86406781, 0), 137), ((86406781, 86430492, 0), 182), ((86430492, 86432131, 0), 186), ((86432131, 86431158, 0), 188), ((86431158, 86413439, 0), 221), ((86413439, 86375113, 0), 233), ('GOAL', 86375113, 233)]
10	[((86464673, 86464671, 0), 0), ((86464671, 86464673, 0), 2), ((86464673, 86464674, 0), 3), ((86464674, 86508288, 0), 23), ((86508288, 86508306, 0), 30), ((86508306, 86466788, 0), 45), ((86466788, 86431956, 0), 55), ((86431956, 86431970, 0), 69), ((86431970, 86431978, 0), 88), ((86431978, 86431980, 0), 103), ((86431980, 86431990, 0), 105), ((86431990, 86431997, 0), 117), ((86431997, 5406929331, 0), 127), ((5406929331, 86432015, 0), 136), ((86432015, 86432019, 0), 142), ((86432019, 86432023, 0), 143), ((86432023, 86432036, 0), 147), ((86432036, 86432045, 0), 155), ((86432045, 86432074, 0), 165), ((86432074, 86432084, 0), 194), ((86432084, 86432101, 0), 205), ((86432101, 86432105, 0), 217), ((86432105, 86406781, 0), 224), ((86406781, 86430492, 0), 293), ((86430492, 86432131, 0), 297), ((86432131, 86431158, 0), 299), ((86431158, 86413439, 0), 332), ((86413439, 86375113, 0), 344), ('GOAL', 86375113, 344)]
11	[((86473219, 86473219, 0), 0), ((86473219, 86431620, 0), 25), ((86431620, 86431619, 0), 31), ((86431619, 86431607, 0), 33), ((86431607, 86382046, 0), 40), ((86382046, 5393400967, 0), 46), ((5393400967, 5393400955, 0), 68), ((5393400955, 86431098, 0), 89), ((86431098, 86416934, 0), 93), ('GOAL', 86416934, 93)]
12	[((86441770, 86387779, 0), 0), ((86387779, 86441770, 0), 4), ((86441770, 86456447, 0), 20), ((86456447, 86428039, 0), 27), ((86428039, 86500504, 0), 40), ((86500504, 86500507, 0), 50), ((86500507, 86475909, 0), 53), ((86475909, 86500519, 0), 66), ((86500519, 86478801, 0), 67), ((86478801, 86500520, 0), 69), ((86500520, 86500526, 0), 73), ((86500526, 86470948, 0), 79), ((86470948, 86500542, 0), 89), ((86500542, 86500549, 0), 99), ((86500549, 86500560, 0), 105), ((86500560, 86500568, 0), 130), ((86500568, 86435311, 0), 141), ((86435311, 86500578, 0), 143), ((86500578, 86473650, 0), 159), ((86473650, 86500587, 0), 164), ((86500587, 86422929, 0), 169), ((86422929, 86445402, 0), 178), ((86445402, 86439002, 0), 182), ((86439002, 86430452, 0), 185), ((86430452, 86430447, 0), 237), ((86430447, 86594929, 0), 240), ((86594929, 86594931, 0), 248), ((86594931, 86538570, 0), 250), ((86538570, 86379067, 0), 272), ((86379067, 86379042, 0), 282), ((86379042, 86432105, 0), 288), ((86432105, 86406781, 0), 328), ((86406781, 86430492, 0), 456), ((86430492, 86432131, 0), 460), ((86432131, 86431158, 0), 462), ((86431158, 86413439, 0), 495), ((86413439, 86375113, 0), 507), ('GOAL', 86375113, 507)]
13	[((86518777, 86518780, 0), 0), ((86518780, 86435616, 0), 10), ((86435616, 2482071044, 0), 19), ((2482071044, 86430233, 0), 28), ((86430233, 86430228, 0), 41), ((86430228, 5736546757, 0), 53), ((5736546757, 5736546751, 0), 55), ((5736546751, 86430226, 0), 57), ((86430226, 86430211, 0), 67), ((86430211, 86430197, 0), 93), ((86430197, 86430193, 0), 115), ((86430193, 86407506, 0), 126), ((86407506, 86387445, 0), 129), ((86387445, 5375953884, 0), 131), ((5375953884, 86430159, 0), 139), ((86430159, 1559299643, 0), 158), ((1559299643, 86430101, 0), 160), ((86430101, 5375953895, 0), 192), ((5375953895, 86430097, 0), 196), ((86430097, 86430089, 0), 200), ((86430089, 5375953903, 0), 212), ((5375953903, 86430069, 0), 223), ((86430069, 86430030, 0), 230), ('GOAL', 86430030, 230)]
14	[((86592325, 86592323, 0), 0), ((86592323, 86551573, 0), 5), ((86551573, 86462041, 0), 10), ((86462041, 86476775, 0), 12), ((86476775, 86439311, 0), 20), ((86439311, 4289645014, 0), 23), ('GOAL', 4289645014, 23)]
15	[((86556378, 86605677, 0), 0), ((86605677, 86556378, 0), 5), ((86556378, 86435682, 0), 10), ((86435682, 86520770, 0), 15), ((86520770, 86520777, 0), 32), ('GOAL', 86520777, 32)]
16	[((86615179, 86518749, 0), 0), ((86518749, 86518673, 0), 7), ((86518673, 86518765, 0), 10), ((86518765, 86492337, 0), 15), ((86492337, 86593845, 0), 35), ((86593845, 86495630, 0), 42), ((86495630, 86606520, 0), 49), ((86606520, 86585553, 0), 59), ((86585553, 86435629, 0), 62), ((86435629, 86416075, 0), 69), ((86416075, 86479779, 0), 77), ((86479779, 86430226, 0), 79), ((86430226, 86430211, 0), 83), ((86430211, 86430197, 0), 114), ((86430197, 86430193, 0), 136), ((86430193, 86407506, 0), 147), ((86407506, 86387445, 0), 150), ((86387445, 5375953884, 0), 152), ((5375953884, 86430159, 0), 160), ((86430159, 1559299643, 0), 179), ((1559299643, 86430101, 0), 181), ((86430101, 5375953895, 0), 213), ((5375953895, 86430097, 0), 217), ((86430097, 86430089, 0), 221), ((86430089, 5375953903, 0), 234), ((5375953903, 86430069, 0), 244), ((86430069, 86430030, 0), 251), ('GOAL', 86430030, 251)]
17	[((5381278221, 86582909, 0), 0), ((86582909, 5381278221, 0), 5), ((5381278221, 86431792, 0), 17), ((86431792, 86518871, 0), 22), ((86518871, 5382279678, 0), 36), ((5382279678, 86499546, 0), 49), ((86499546, 86417805, 0), 61), ((86417805, 86499543, 0), 66), ((86499543, 86480450, 0), 69), ((86480450, 86499536, 0), 73), ((86499536, 86499659, 0), 79), ((86499659, 86509465, 0), 83), ((86509465, 86519748, 0), 86), ((86519748, 5382279690, 0), 93), ((5382279690, 86431730, 0), 94), ((86431730, 86431719, 0), 113), ((86431719, 86431708, 0), 125), ((86431708, 86416948, 0), 129), ((86416948, 3604344025, 0), 156), ((3604344025, 86431672, 0), 167), ((86431672, 86431629, 0), 169), ((86431629, 86431620, 0), 188), ((86431620, 86431619, 0), 194), ((86431619, 86431607, 0), 196), ((86431607, 86382046, 0), 203), ((86382046, 5393400967, 0), 209), ((5393400967, 5393400955, 0), 231), ((5393400955, 86431098, 0), 252), ((86431098, 86416934, 0), 256), ('GOAL', 86416934, 256)]
18	[((86378529, 86405683, 0), 0), ('GOAL', 86405683, None)]
19	[((86480320, 86428305, 0), 0), ((86428305, 86480307, 0), 1), ((86480307, 86470733, 0), 12), ((86470733, 86508424, 0), 21), ((86508424, 86508420, 0), 30), ((86508420, 86484420, 0), 35), ((86484420, 86508407, 0), 39), ((86508407, 86426504, 0), 42), ((86426504, 86426497, 0), 44), ((86426497, 86426495, 0), 69), ((86426495, 86431937, 0), 75), ((86431937, 86431956, 0), 109), ((86431956, 86431970, 0), 134), ((86431970, 86431978, 0), 179), ((86431978, 86431980, 0), 195), ((86431980, 86431990, 0), 197), ((86431990, 86431997, 0), 209), ((86431997, 5406929331, 0), 219), ((5406929331, 86432015, 0), 227), ((86432015, 86432019, 0), 233), ((86432019, 86432023, 0), 234), ((86432023, 86432036, 0), 239), ((86432036, 86432045, 0), 247), ((86432045, 86432074, 0), 257), ((86432074, 86432084, 0), 286), ((86432084, 86432101, 0), 297), ((86432101, 86432105, 0), 311), ((86432105, 86406781, 0), 326), ((86406781, 86430492, 0), 452), ((86430492, 86432131, 0), 456), ((86432131, 86431158, 0), 459), ((86431158, 86413439, 0), 492), ((86413439, 86375113, 0), 504), ('GOAL', 86375113, 504)]
20	[((86512155, 86615179, 0), 0), ((86615179, 86518749, 0), 2), ((86518749, 86518673, 0), 10), ((86518673, 86518765, 0), 14), ((86518765, 86492337, 0), 19), ((86492337, 86593845, 0), 39), ((86593845, 86495630, 0), 46), ((86495630, 86606520, 0), 54), ((86606520, 86585553, 0), 64), ((86585553, 86435629, 0), 67), ((86435629, 86416075, 0), 74), ((86416075, 86479779, 0), 82), ((86479779, 86430226, 0), 84), ((86430226, 86430211, 0), 90), ((86430211, 86430197, 0), 124), ((86430197, 86430193, 0), 149), ((86430193, 86407506, 0), 160), ((86407506, 86387445, 0), 163), ((86387445, 5375953884, 0), 164), ((5375953884, 86430159, 0), 173), ((86430159, 1559299643, 0), 192), ((1559299643, 86430101, 0), 194), ((86430101, 5375953895, 0), 225), ((5375953895, 86430097, 0), 229), ((86430097, 86430089, 0), 234), ((86430089, 5375953903, 0), 246), ((5375953903, 86430069, 0), 257), ((86430069, 86430030, 0), 263), ('GOAL', 86430030, 263)]
21	[((86502123, 86556583, 0), 0), ((86556583, 86454384, 0), 12), ('GOAL', 86454384, 12)]
22	[((86431978, 86503464, 0), 0), ((86503464, 86431978, 0), 1), ((86431978, 86431980, 0), 3), ((86431980, 86431990, 0), 4), ((86431990, 86431997, 0), 16), ((86431997, 5406929331, 0), 26), ((5406929331, 86432015, 0), 36), ((86432015, 86432019, 0), 42), ((86432019, 86432023, 0), 44), ((86432023, 86432036, 0), 48), ((86432036, 86432045, 0), 56), ((86432045, 86432074, 0), 66), ((86432074, 86432084, 0), 95), ((86432084, 86432101, 0), 106), ((86432101, 86432105, 0), 119), ((86432105, 86406781, 0), 123), ((86406781, 86430492, 0), 164), ((86430492, 86432131, 0), 168), ((86432131, 86431158, 0), 170), ((86431158, 86413439, 0), 203), ((86413439, 86375113, 0), 215), ('GOAL', 86375113, 215)]
23	[((86519244, 5375953883, 0), 0), ((5375953883, 86422026, 0), 10), ((86422026, 86519224, 0), 11), ((86519224, 86473533, 0), 15), ((86473533, 86438273, 0), 16), ((86438273, 5386545569, 0), 18), ((5386545569, 86407506, 0), 27), ((86407506, 86387445, 0), 48), ((86387445, 5375953884, 0), 50), ((5375953884, 86430159, 0), 59), ((86430159, 1559299643, 0), 77), ((1559299643, 86430101, 0), 79), ((86430101, 5375953895, 0), 111), ((5375953895, 86430097, 0), 115), ((86430097, 86430089, 0), 119), ((86430089, 5375953903, 0), 132), ((5375953903, 86430069, 0), 142), ((86430069, 86430030, 0), 149), ('GOAL', 86430030, 149)]
24	[((86445614, 86445612, 0), 0), ((86445612, 86426479, 0), 3), ((86426479, 86426487, 0), 11), ((86426487, 86426493, 0), 21), ((86426493, 86426495, 0), 31), ((86426495, 86431937, 0), 34), ((86431937, 86431956, 0), 65), ((86431956, 86431970, 0), 93), ((86431970, 86431978, 0), 123), ((86431978, 86431980, 0), 139), ((86431980, 86431990, 0), 141), ((86431990, 86431997, 0), 153), ((86431997, 5406929331, 0), 163), ((5406929331, 86432015, 0), 171), ((86432015, 86432019, 0), 177), ((86432019, 86432023, 0), 178), ((86432023, 86432036, 0), 183), ((86432036, 86432045, 0), 191), ((86432045, 86432074, 0), 201), ((86432074, 86432084, 0), 230), ((86432084, 86432101, 0), 241), ((86432101, 86432105, 0), 253), ((86432105, 86406781, 0), 264), ((86406781, 86430492, 0), 355), ((86430492, 86432131, 0), 359), ((86432131, 86431158, 0), 361), ((86431158, 86413439, 0), 394), ((86413439, 86375113, 0), 406), ('GOAL', 86375113, 406)]
