0	[((86462838, 86462877, 0), 0), ((86462877, 86466706, 0), 13), ((86466706, 86466722, 0), 14), ((86466722, 86466759, 0), 29), ((86466759, 86466786, 0), 66), ((86466786, 86466788, 0), 75), ((86466788, 86431956, 0), 77), ((86431956, 86431970, 0), 89), ((86431970, 86431978, 0), 114), ((86431978, 86431980, 0), 129), ((86431980, 86431990, 0), 131), ((86431990, 86431997, 0), 143), ((86431997, 5406929331, 0), 153), ((5406929331, 86432015, 0), 162), ((86432015, 86432019, 0), 168), ((86432019, 86432023, 0), 169), ((86432023, 86432036, 0), 173), ((86432036, 86432045, 0), 181), ((86432045, 86432074, 0), 191), ((86432074, 86432084, 0), 220), ((86432084, 86432101, 0), 231), ((86432101, 86432105, 0), 244), ((86432105, 86406781, 0), 252), ((86406781, 86430492, 0), 345), ((86430492, 86432131, 0), 349), ((86432131, 86431158, 0), 352), ((86431158, 86413439, 0), 385), ((86413439, 86375113, 0), 393), ('GOAL', 86375113, 393)]
1	[((86639857, 5382279688, 0), 0), ((5382279688, 86456962, 0), 1), ((86456962, 86441749, 0), 6), ((86441749, 86456921, 0), 22), ((86456921, 86420803, 0), 30), ((86420803, 86518909, 0), 38), ((86518909, 86417963, 0), 48), ((86417963, 5382279682, 0), 52), ((5382279682, 86518871, 0), 55), ((86518871, 86422213, 0), 60), ((86422213, 86431781, 0), 76), ((86431781, 86431780, 0), 83), ((86431780, 86431774, 0), 90), ((86431774, 86520605, 0), 96), ((86520605, 86499646, 0), 99), ((86499646, 86509471, 0), 101), ((86509471, 86520613, 0), 107), ((86520613, 5375954124, 0), 112), ((5375954124, 86431726, 0), 119), ((86431726, 86431730, 0), 130), ((86431730, 86431719, 0), 131), ((86431719, 86431708, 0), 143), ((86431708, 86416948, 0), 147), ((86416948, 3604344025, 0), 174), ((3604344025, 86431672, 0), 185), ((86431672, 86431629, 0), 187), ((86431629, 86431620, 0), 206), ((86431620, 86431619, 0), 212), ((86431619, 86431607, 0), 214), ((86431607, 86382046, 0), 221), ((86382046, 5393400967, 0), 227), ((5393400967, 5393400955, 0), 249), ((5393400955, 86431098, 0), 264), ((86431098, 86416934, 0), 268), ('GOAL', 86416934, 268)]
2	[((86535644, 86430467, 0), 0), ((86430467, 86430469, 0), 3), ((86430469, 86430471, 0), 8), ((86430471, 86430475, 0), 15), ((86430475, 86430484, 0), 22), ((86430484, 86430487, 0), 34), ((86430487, 86406796, 0), 40), ((86406796, 86430492, 0), 46), ((86430492, 86432131, 0), 50), ((86432131, 86431158, 0), 52), ((86431158, 86413439, 0), 85), ((86413439, 86375113, 0), 93), ('GOAL', 86375113, 93)]
3	[((86501416, 86430299, 0), 0), ((86430299, 86430291, 0), 29), ((86430291, 86430277, 0), 38), ((86430277, 86430271, 0), 45), ((86430271, 86430267, 0), 50), ((86430267, 86436319, 0), 58), ((86436319, 86435611, 0), 69), ((86435611, 86435616, 0), 83), ((86435616, 2482071044, 0), 93), ((2482071044, 86430233, 0), 101), ((86430233, 86430228, 0), 104), ((86430228, 5736546757, 0), 116), ((5736546757, 5736546751, 0), 118), ((5736546751, 86430226, 0), 121), ((86430226, 86430211, 0), 132), ((86430211, 86430197, 0), 158), ((86430197, 86430193, 0), 178), ((86430193, 86407506, 0), 189), ((86407506, 86387445, 0), 192), ((86387445, 5375953884, 0), 193), ((5375953884, 86430159, 0), 202), ((86430159, 1559299643, 0), 221), ((1559299643, 86430101, 0), 223), ((86430101, 5375953895, 0), 254), ((5375953895, 86430097, 0), 258), ((86430097, 86430089, 0), 263), ((86430089, 5375953903, 0), 275), ((5375953903, 86430069, 0), 286), ((86430069, 86430030, 0), 292), ('GOAL', 86430030, 292)]
4	[((86422198, 86422200, 0), 0), ((86422200, 86422198, 0), 5), ((86422198, 86596033, 0), 48), ((86596033, 86519861, 0), 55), ((86519861, 86486530, 0), 63), ((86486530, 86519892, 0), 85), ((86519892, 86519898, 0), 88), ((86519898, 86508220, 0), 98), ((86508220, 4687298814, 0), 108), ((4687298814, 86430364, 0), 129), ((86430364, 86430380, 0), 133), ((86430380, 86414245, 0), 154), ((86414245, 86430386, 0), 164), ((86430386, 86430395, 0), 168), ((86430395, 86376907, 0), 175), ((86376907, 86430418, 0), 179), ((86430418, 86376920, 0), 185), ((86376920, 86430424, 0), 186), ((86430424, 86554346, 0), 191), ((86554346, 86594931, 0), 206), ((86594931, 86538570, 0), 221), ((86538570, 86379067, 0), 228), ((86379067, 86379042, 0), 240), ((86379042, 86432105, 0), 244), ((86432105, 86406781, 0), 271), ((86406781, 86430492, 0), 375), ((86430492, 86432131, 0), 379), ((86432131, 86431158, 0), 382), ((86431158, 86413439, 0), 414), ((86413439, 86375113, 0), 423), ('GOAL', 86375113, 423)]
5	[((3373238712, 86430440, 0), 0), ((86430440, 86406961, 0), 6), ((86406961, 86430424, 0), 13), ((86430424, 86554346, 0), 19), ((86554346, 86594931, 0), 35), ((86594931, 86538570, 0), 50), ((86538570, 86379067, 0), 55), ((86379067, 86379042, 0), 67), ((86379042, 86432105, 0), 69), ((86432105, 86406781, 0), 71), ((86406781, 86430492, 0), 106), ((86430492, 86432131, 0), 110), ((86432131, 86431158, 0), 112), ((86431158, 86413439, 0), 145), ((86413439, 86375113, 0), 154), ('GOAL', 86375113, 154)]
6	[((5382279678, 86499546, 0), 0), ((86499546, 86417805, 0), 7), ((86417805, 86499543, 0), 13), ((86499543, 86480450, 0), 15), ((86480450, 86499536, 0), 18), ((86499536, 86499659, 0), 24), ((86499659, 86509465, 0), 28), ((86509465, 86519748, 0), 32), ((86519748, 5382279690, 0), 52), ((5382279690, 86431730, 0), 55), ((86431730, 86431719, 0), 76), ((86431719, 86431708, 0), 88), ((86431708, 86416948, 0), 92), ((86416948, 3604344025, 0), 119), ((3604344025, 86431672, 0), 129), ((86431672, 86431629, 0), 132), ((86431629, 86431620, 0), 151), ((86431620, 86431619, 0), 157), ((86431619, 86431607, 0), 159), ((86431607, 86382046, 0), 166), ((86382046, 5393400967, 0), 171), ((5393400967, 5393400955, 0), 194), ((5393400955, 86431098, 0), 209), ((86431098, 86416934, 0), 212), ('GOAL', 86416934, 212)]
7	[((86459822, 86426010, 0), 0), ((86426010, 86459822, 0), 3), ((86459822, 86373049, 0), 11), ((86373049, 86544186, 0), 35), ((86544186, 86455419, 0), 37), ((86455419, 86551647, 0), 43), ((86551647, 86596033, 0), 53), ((86596033, 86519861, 0), 61), ((86519861, 86486530, 0), 67), ((86486530, 86519892, 0), 90), ((86519892, 86519898, 0), 93), ((86519898, 86508220, 0), 103), ((86508220, 4687298814, 0), 113), ((4687298814, 86430364, 0), 134), ((86430364, 86430380, 0), 138), ((86430380, 86414245, 0), 159), ((86414245, 86430386, 0), 169), ((86430386, 86430395, 0), 173), ((86430395, 86376907, 0), 180), ((86376907, 86430418, 0), 184), ((86430418, 86376920, 0), 190), ((86376920, 86430424, 0), 191), ((86430424, 86554346, 0), 196), ((86554346, 86594931, 0), 212), ((86594931, 86538570, 0), 226), ((86538570, 86379067, 0), 233), ((86379067, 86379042, 0), 245), ((86379042, 86432105, 0), 249), ((86432105, 86406781, 0), 279), ((86406781, 86430492, 0), 387), ((86430492, 86432131, 0), 391), ((86432131, 86431158, 0), 393), ((86431158, 86413439, 0), 426), ((86413439, 86375113, 0), 435), ('GOAL', 86375113, 435)]
8	[((86520613, 86509471, 0), 0), ((86509471, 86520613, 0), 2), ((86520613, 5375954124, 0), 6), ((5375954124, 86431726, 0), 14), ((86431726, 86431730, 0), 24), ((86431730, 86431719, 0), 25), ((86431719, 86431708, 0), 37), ((86431708, 86416948, 0), 41), ((86416948, 3604344025, 0), 68), ((3604344025, 86431672, 0), 79), ((86431672, 86431629, 0), 81), ((86431629, 86431620, 0), 100), ((86431620, 86431619, 0), 106), ((86431619, 86431607, 0), 108), ((86431607, 86382046, 0), 115), ((86382046, 5393400967, 0), 121), ((5393400967, 5393400955, 0), 143), ((5393400955, 86431098, 0), 158), ((86431098, 86416934, 0), 161), ('GOAL', 86416934, 161)]
9	[((86606471, 86637551, 0), 0), ((86637551, 86557040, 0), 1), ((86557040, 86597717, 0), 2), ((86597717, 86518713, 0), 6), ((86518713, 86586468, 0), 10), ((86586468, 86532495, 0), 22), ((86532495, 86445442, 0), 30), ((86445442, 86441505, 0), 36), ((86441505, 86544165, 0), 47), ((86544165, 86455413, 0), 87), ((86455413, 86551647, 0), 89), ((86551647, 86596033, 0), 94), ((86596033, 86519861, 0), 102), ((86519861, 86486530, 0), 109), ((86486530, 86519892, 0), 132), ((86519892, 86519898, 0), 135), ((86519898, 86508220, 0), 145), ((86508220, 4687298814, 0), 155), ((4687298814, 86430364, 0), 176), ((86430364, 86430380, 0), 181), ((86430380, 86414245, 0), 202), ((86414245, 86430386, 0), 211), ((86430386, 86430395, 0), 216), ((86430395, 86376907, 0), 223), ((86376907, 86430418, 0), 227), ((86430418, 86376920, 0), 233), ((86376920, 86430424, 0), 234), ((86430424, 86554346, 0), 238), ((86554346, 86594931, 0), 254), ((86594931, 86538570, 0), 270), ((86538570, 86379067, 0), 296), ((86379067, 86379042, 0), 308), ((86379042, 86432105, 0), 337), ((86432105, 86406781, 0), 373), ((86406781, 86430492, 0), 528), ((86430492, 86432131, 0), 532), ((86432131, 86431158, 0), 534), ((86431158, 86413439, 0), 567), ((86413439, 86375113, 0), 575), ('GOAL', 86375113, 575)]
