0	[((86462838, 86462877, 0), 0), ((86462877, 86466706, 0), 13), ((86466706, 86431899, 0), 14), ((86431899, 5381277817, 0), 35), ((5381277817, 86431869, 0), 46), ((86431869, 86575614, 0), 65), ((86575614, 86438506, 0), 71), ((86438506, 86457907, 0), 80), ((86457907, 86457852, 0), 92), ((86457852, 86474341, 0), 96), ((86474341, 86375459, 0), 102), ((86375459, 86518814, 0), 117), ((86518814, 86518812, 0), 120), ((86518812, 86430233, 0), 122), ((86430233, 86430228, 0), 154), ((86430228, 5736546757, 0), 166), ((5736546757, 5736546751, 0), 168), ((5736546751, 86430226, 0), 170), ((86430226, 86430211, 0), 182), ((86430211, 86430197, 0), 247), ((86430197, 86430193, 0), 285), ((86430193, 86407506, 0), 296), ((86407506, 86387445, 0), 301), ((86387445, 5375953884, 0), 309), ((5375953884, 86430159, 0), 317), ((86430159, 1559299643, 0), 336), ((1559299643, 86430101, 0), 338), ((86430101, 5375953895, 0), 369), ((5375953895, 86430097, 0), 373), ((86430097, 86430089, 0), 378), ((86430089, 5375953903, 0), 390), ((5375953903, 86430069, 0), 401), ((86430069, 86430030, 0), 407), ('GOAL', 86430030, 407)]
1	[((86639857, 5382279688, 0), 0), ((5382279688, 86456962, 0), 1), ((86456962, 86441749, 0), 6), ((86441749, 86456921, 0), 22), ((86456921, 86420803, 0), 30), ((86420803, 86518909, 0), 38), ((86518909, 86417963, 0), 48), ((86417963, 5382279682, 0), 52), ((5382279682, 86518871, 0), 55), ((86518871, 86422213, 0), 60), ((86422213, 86431781, 0), 76), ((86431781, 86431780, 0), 83), ((86431780, 86431774, 0), 90), ((86431774, 86520605, 0), 96), ((86520605, 86499646, 0), 99), ((86499646, 86509471, 0), 101), ((86509471, 86520613, 0), 107), ((86520613, 5375954124, 0), 112), ((5375954124, 86431726, 0), 119), ((86431726, 86431730, 0), 130), ((86431730, 86431719, 0), 131), ((86431719, 86431708, 0), 143), ((86431708, 86416948, 0), 147), ((86416948, 3604344025, 0), 174), ((3604344025, 86431672, 0), 185), ((86431672, 86431629, 0), 187), ((86431629, 86431620, 0), 206), ((86431620, 86431619, 0), 212), ((86431619, 86431607, 0), 214), ((86431607, 86382046, 0), 221), ((86382046, 5393400967, 0), 227), ((5393400967, 5393400955, 0), 249), ((5393400955, 86431098, 0), 264), ((86431098, 86416934, 0), 268), ('GOAL', 86416934, 268)]
2	[((86535644, 86430467, 0), 0), ((86430467, 86430469, 0), 3), ((86430469, 86430471, 0), 8), ((86430471, 86430475, 0), 15), ((86430475, 86430484, 0), 22), ((86430484, 86430487, 0), 34), ((86430487, 86406796, 0), 40), ((86406796, 86430492, 0), 46), ((86430492, 86432131, 0), 50), ((86432131, 86431158, 0), 52), ((86431158, 86413439, 0), 85), ((86413439, 86375113, 0), 93), ('GOAL', 86375113, 93)]
3	[((86501416, 86430299, 0), 0), ((86430299, 86430291, 0), 29), ((86430291, 86430277, 0), 38), ((86430277, 86430271, 0), 45), ((86430271, 86430267, 0), 50), ((86430267, 86436319, 0), 58), ((86436319, 86435611, 0), 69), ((86435611, 86435616, 0), 83), ((86435616, 2482071044, 0), 93), ((2482071044, 86430233, 0), 101), ((86430233, 86430228, 0), 104), ((86430228, 5736546757, 0), 116), ((5736546757, 5736546751, 0), 118), ((5736546751, 86430226, 0), 121), ((86430226, 86430211, 0), 132), ((86430211, 86430197, 0), 158), ((86430197, 86430193, 0), 179), ((86430193, 86407506, 0), 190), ((86407506, 86387445, 0), 196), ((86387445, 5375953884, 0), 203), ((5375953884, 86430159, 0), 211), ((86430159, 1559299643, 0), 230), ((1559299643, 86430101, 0), 232), ((86430101, 5375953895, 0), 264), ((5375953895, 86430097, 0), 268), ((86430097, 86430089, 0), 272), ((86430089, 5375953903, 0), 285), ((5375953903, 86430069, 0), 295), ((86430069, 86430030, 0), 302), ('GOAL', 86430030, 302)]
4	[((86422198, 86422200, 0), 0), ((86422200, 86422198, 0), 5), ((86422198, 86596033, 0), 48), ((86596033, 86519861, 0), 55), ((86519861, 86486530, 0), 63), ((86486530, 86519892, 0), 85), ((86519892, 86519898, 0), 88), ((86519898, 86508220, 0), 98), ((86508220, 4687298814, 0), 108), ((4687298814, 86430364, 0), 129), ((86430364, 86430380, 0), 133), ((86430380, 86414245, 0), 154), ((86414245, 86430386, 0), 164), ((86430386, 86430395, 0), 168), ((86430395, 86376907, 0), 175), ((86376907, 86430418, 0), 179), ((86430418, 86376920, 0), 185), ((86376920, 86430424, 0), 186), ((86430424, 86554346, 0), 191), ((86554346, 86594931, 0), 206), ((86594931, 86538570, 0), 221), ((86538570, 86379067, 0), 226), ((86379067, 86379042, 0), 238), ((86379042, 86432105, 0), 240), ((86432105, 86406781, 0), 251), ((86406781, 86430492, 0), 336), ((86430492, 86432131, 0), 340), ((86432131, 86431158, 0), 342), ((86431158, 86413439, 0), 375), ((86413439, 86375113, 0), 384), ('GOAL', 86375113, 384)]
5	[((3373238712, 86430440, 0), 0), ((86430440, 86406961, 0), 6), ((86406961, 86430424, 0), 13), ((86430424, 86554346, 0), 19), ((86554346, 86594931, 0), 35), ((86594931, 86538570, 0), 50), ((86538570, 86379067, 0), 55), ((86379067, 86379042, 0), 67), ((86379042, 86432105, 0), 69), ((86432105, 86406781, 0), 71), ((86406781, 86430492, 0), 106), ((86430492, 86432131, 0), 110), ((86432131, 86431158, 0), 112), ((86431158, 86413439, 0), 145), ((86413439, 86375113, 0), 154), ('GOAL', 86375113, 154)]
6	[((5382279678, 86499546, 0), 0), ((86499546, 86417805, 0), 7), ((86417805, 86499543, 0), 13), ((86499543, 86480450, 0), 15), ((86480450, 86499536, 0), 18), ((86499536, 86499659, 0), 24), ((86499659, 86509465, 0), 28), ((86509465, 86519748, 0), 32), ((86519748, 5382279690, 0), 52), ((5382279690, 86431730, 0), 55), ((86431730, 86431719, 0), 76), ((86431719, 86431708, 0), 88), ((86431708, 86416948, 0), 92), ((86416948, 3604344025, 0), 119), ((3604344025, 86431672, 0), 129), ((86431672, 86431629, 0), 132), ((86431629, 86431620, 0), 151), ((86431620, 86431619, 0), 157), ((86431619, 86431607, 0), 159), ((86431607, 86382046, 0), 166), ((86382046, 5393400967, 0), 171), ((5393400967, 5393400955, 0), 194), ((5393400955, 86431098, 0), 209), ((86431098, 86416934, 0), 212), ('GOAL', 86416934, 212)]
7	[((86459822, 86426010, 0), 0), ((86426010, 86459822, 0), 3), ((86459822, 86373049, 0), 11), ((86373049, 86544186, 0), 35), ((86544186, 86455419, 0), 37), ((86455419, 86551647, 0), 43), ((86551647, 86596033, 0), 53), ((86596033, 86519861, 0), 61), ((86519861, 86486530, 0), 67), ((86486530, 86519892, 0), 89), ((86519892, 86519898, 0), 93), ((86519898, 86508220, 0), 102), ((86508220, 4687298814, 0), 112), ((4687298814, 86430364, 0), 132), ((86430364, 86430380, 0), 137), ((86430380, 86414245, 0), 158), ((86414245, 86430386, 0), 167), ((86430386, 86430395, 0), 172), ((86430395, 86376907, 0), 179), ((86376907, 86430418, 0), 183), ((86430418, 86376920, 0), 189), ((86376920, 86430424, 0), 190), ((86430424, 86554346, 0), 194), ((86554346, 86594931, 0), 210), ((86594931, 86538570, 0), 225), ((86538570, 86379067, 0), 230), ((86379067, 86379042, 0), 242), ((86379042, 86432105, 0), 244), ((86432105, 86406781, 0), 254), ((86406781, 86430492, 0), 338), ((86430492, 86432131, 0), 342), ((86432131, 86431158, 0), 345), ((86431158, 86413439, 0), 378), ((86413439, 86375113, 0), 386), ('GOAL', 86375113, 386)]
8	[((86520613, 86509471, 0), 0), ((86509471, 86520613, 0), 2), ((86520613, 5375954124, 0), 6), ((5375954124, 86431726, 0), 14), ((86431726, 86431730, 0), 24), ((86431730, 86431719, 0), 25), ((86431719, 86431708, 0), 37), ((86431708, 86416948, 0), 41), ((86416948, 3604344025, 0), 68), ((3604344025, 86431672, 0), 79), ((86431672, 86431629, 0), 81), ((86431629, 86431620, 0), 100), ((86431620, 86431619, 0), 106), ((86431619, 86431607, 0), 108), ((86431607, 86382046, 0), 115), ((86382046, 5393400967, 0), 121), ((5393400967, 5393400955, 0), 143), ((5393400955, 86431098, 0), 158), ((86431098, 86416934, 0), 161), ('GOAL', 86416934, 161)]
9	[((86606471, 86637551, 0), 0), ((86637551, 86557040, 0), 1), ((86557040, 86597717, 0), 2), ((86597717, 86518713, 0), 6), ((86518713, 86518725, 0), 10), ((86518725, 86518735, 0), 18), ((86518735, 86512155, 0), 29), ((86512155, 86615179, 0), 36), ((86615179, 86518749, 0), 43), ((86518749, 86518673, 0), 50), ((86518673, 86518765, 0), 54), ((86518765, 86492337, 0), 58), ((86492337, 86593845, 0), 75), ((86593845, 86495630, 0), 92), ((86495630, 86606520, 0), 103), ((86606520, 86585553, 0), 108), ((86585553, 86435629, 0), 111), ((86435629, 86416075, 0), 118), ((86416075, 86479779, 0), 128), ((86479779, 86430226, 0), 130), ((86430226, 86430211, 0), 144), ((86430211, 86430197, 0), 182), ((86430197, 86430193, 0), 208), ((86430193, 86407506, 0), 219), ((86407506, 86387445, 0), 224), ((86387445, 5375953884, 0), 232), ((5375953884, 86430159, 0), 240), ((86430159, 1559299643, 0), 259), ((1559299643, 86430101, 0), 261), ((86430101, 5375953895, 0), 292), ((5375953895, 86430097, 0), 296), ((86430097, 86430089, 0), 301), ((86430089, 5375953903, 0), 313), ((5375953903, 86430069, 0), 324), ((86430069, 86430030, 0), 330), ('GOAL', 86430030, 330)]
