0	[((86504315, 5375954121, 0), 0), ((5375954121, 86484968, 0), 11), ('GOAL', 86484968, 11), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None)]
1	[((86588237, 86484915, 0), 0), ((86484915, 86484914, 0), 10), ((86484914, 86436036, 0), 11), ((86436036, 86484911, 0), 14), ((86484911, 86484910, 0), 21), ((86484910, 86460105, 0), 23), ((86460105, 86484897, 0), 27), ((86484897, 86457029, 0), 29), ((86457029, 86457003, 0), 37), ((86457003, 86456921, 0), 56), ((86456921, 86420803, 0), 59), ((86420803, 86518909, 0), 73), ((86518909, 86417963, 0), 81), ((86417963, 5382279682, 0), 86), ((5382279682, 86518871, 0), 89), ((86518871, 86422213, 0), 103), ((86422213, 86431781, 0), 119), ((86431781, 86431780, 0), 126), ((86431780, 86431774, 0), 133), ((86431774, 86431770, 0), 139), ((86431770, 86431764, 0), 141), ((86431764, 86527899, 0), 148), ((86527899, 86527905, 0), 153), ((86527905, 86527931, 0), 155), ((86527931, 86527935, 0), 172), ((86527935, 86409420, 0), 175), ((86409420, 5375953920, 0), 178), ((5375953920, 5375954121, 0), 181), ((5375954121, 86484968, 0), 183), ('GOAL', 86484968, 183), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None)]
2	[((86473058, 86513537, 0), 0), ((86513537, 86442300, 0), 1), ((86442300, 86442308, 0), 4), ((86442308, 86442320, 0), 6), ((86442320, 86630356, 0), 17), ((86630356, 86542114, 0), 24), ((86542114, 86456928, 0), 31), ((86456928, 86441722, 0), 46), ((86441722, 86441739, 0), 54), ((86441739, 86441749, 0), 84), ((86441749, 86456921, 0), 94), ((86456921, 86420803, 0), 97), ((86420803, 86518909, 0), 114), ((86518909, 86417963, 0), 122), ((86417963, 5382279682, 0), 127), ((5382279682, 86518871, 0), 130), ((86518871, 86422213, 0), 144), ((86422213, 86431781, 0), 160), ((86431781, 86431780, 0), 167), ((86431780, 86431774, 0), 174), ((86431774, 86431770, 0), 180), ((86431770, 86431764, 0), 183), ((86431764, 86527899, 0), 189), ((86527899, 86527905, 0), 194), ((86527905, 86527931, 0), 196), ((86527931, 86527935, 0), 213), ((86527935, 86409420, 0), 216), ((86409420, 5375953920, 0), 219), ((5375953920, 5375954121, 0), 222), ((5375954121, 86484968, 0), 224), ('GOAL', 86484968, 224), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None)]
3	[((86500504, 86428039, 0), 0), ((86428039, 86500504, 0), 3), ((86500504, 86500507, 0), 13), ((86500507, 86475909, 0), 16), ((86475909, 86500519, 0), 29), ((86500519, 86478801, 0), 30), ((86478801, 86500520, 0), 31), ((86500520, 86500526, 0), 36), ((86500526, 86470948, 0), 41), ((86470948, 86500542, 0), 52), ((86500542, 86500549, 0), 62), ((86500549, 86500560, 0), 67), ((86500560, 86500568, 0), 93), ((86500568, 86435311, 0), 104), ((86435311, 86500578, 0), 106), ((86500578, 86473650, 0), 122), ((86473650, 86500587, 0), 127), ((86500587, 86422929, 0), 132), ((86422929, 86445402, 0), 141), ((86445402, 86439002, 0), 145), ((86439002, 86430452, 0), 148), ((86430452, 86430447, 0), 163), ((86430447, 86594929, 0), 165), ((86594929, 86594931, 0), 175), ((86594931, 86538570, 0), 178), ((86538570, 86379067, 0), 185), ((86379067, 86379042, 0), 192), ((86379042, 86432105, 0), 195), ((86432105, 86406781, 0), 198), ((86406781, 86430492, 0), 261), ((86430492, 86432131, 0), 265), ((86432131, 86431158, 0), 267), ((86431158, 86413439, 0), 300), ((86413439, 86375113, 0), 309), ('GOAL', 86375113, 309), ('GOAL', 86375113, None)]
4	[((86616830, 86478255, 0), 0), ((86478255, 86382627, 0), 1), ((86382627, 86520732, 0), 13), ((86520732, 86520734, 0), 14), ((86520734, 86520746, 0), 15), ((86520746, 86506050, 0), 19), ((86506050, 86520753, 0), 23), ((86520753, 86520755, 0), 26), ((86520755, 86509080, 0), 27), ((86509080, 86451372, 0), 32), ((86451372, 86520767, 0), 40), ((86520767, 86477498, 0), 41), ((86477498, 86520770, 0), 45), ((86520770, 86435682, 0), 51), ((86435682, 86501095, 0), 61), ('GOAL', 86501095, 61), ('GOAL', 86501095, None), ('GOAL', 86501095, None), ('GOAL', 86501095, None), ('GOAL', 86501095, None), ('GOAL', 86501095, None), ('GOAL', 86501095, None)]
5	[((86484660, 86484674, 0), 0), ((86484674, 86484660, 0), 4), ((86484660, 86417903, 0), 8), ((86417903, 86542114, 0), 19), ((86542114, 86456928, 0), 29), ((86456928, 86441722, 0), 42), ((86441722, 86441739, 0), 50), ((86441739, 86441749, 0), 80), ((86441749, 86456921, 0), 90), ((86456921, 86420803, 0), 93), ((86420803, 86518909, 0), 111), ((86518909, 86417963, 0), 119), ((86417963, 5382279682, 0), 124), ((5382279682, 86518871, 0), 126), ((86518871, 86422213, 0), 141), ((86422213, 86431781, 0), 156), ((86431781, 86431780, 0), 163), ((86431780, 86431774, 0), 170), ((86431774, 86431770, 0), 176), ((86431770, 86431764, 0), 179), ((86431764, 86527899, 0), 186), ((86527899, 86527905, 0), 191), ((86527905, 86527931, 0), 193), ((86527931, 86527935, 0), 210), ((86527935, 86409420, 0), 212), ((86409420, 5375953920, 0), 216), ((5375953920, 5375954121, 0), 218), ((5375954121, 86484968, 0), 220), ('GOAL', 86484968, 220), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None), ('GOAL', 86484968, None)]
6	[((86407506, 5386545569, 0), 0), ((5386545569, 86407506, 0), 1), ((86407506, 86387445, 0), 59), ((86387445, 5375953884, 0), 61), ((5375953884, 86430159, 0), 70), ((86430159, 1559299643, 0), 89), ((1559299643, 86430101, 0), 90), ((86430101, 5375953895, 0), 122), ((5375953895, 86430097, 0), 126), ((86430097, 86430089, 0), 130), ((86430089, 5375953903, 0), 143), ((5375953903, 86430069, 0), 153), ((86430069, 86430030, 0), 160), ('GOAL', 86430030, 160), ('GOAL', 86430030, None), ('GOAL', 86430030, None), ('GOAL', 86430030, None), ('GOAL', 86430030, None), ('GOAL', 86430030, None)]
7	[((86439958, 86439962, 0), 0), ((86439962, 86439958, 0), 4), ((86439958, 86549907, 0), 12), ((86549907, 86479441, 0), 18), ((86479441, 86431980, 0), 48), ((86431980, 86431990, 0), 53), ((86431990, 86431997, 0), 64), ((86431997, 5406929331, 0), 74), ((5406929331, 86432015, 0), 83), ((86432015, 86432019, 0), 88), ((86432019, 86432023, 0), 89), ((86432023, 86432036, 0), 94), ((86432036, 86432045, 0), 102), ((86432045, 86432074, 0), 112), ((86432074, 86432084, 0), 141), ((86432084, 86432101, 0), 152), ((86432101, 86432105, 0), 164), ((86432105, 86406781, 0), 169), ((86406781, 86430492, 0), 222), ((86430492, 86432131, 0), 226), ((86432131, 86431158, 0), 229), ((86431158, 86413439, 0), 262), ((86413439, 86375113, 0), 271), ('GOAL', 86375113, 271), ('GOAL', 86375113, None), ('GOAL', 86375113, None), ('GOAL', 86375113, None)]
8	[((5600735599, 86575168, 0), 0), ((86575168, 86508306, 0), 12), ((86508306, 86466788, 0), 34), ((86466788, 86431956, 0), 43), ((86431956, 86431970, 0), 55), ((86431970, 86431978, 0), 69), ((86431978, 86431980, 0), 85), ((86431980, 86431990, 0), 87), ((86431990, 86431997, 0), 99), ((86431997, 5406929331, 0), 110), ((5406929331, 86432015, 0), 119), ((86432015, 86432019, 0), 124), ((86432019, 86432023, 0), 125), ((86432023, 86432036, 0), 130), ((86432036, 86432045, 0), 138), ((86432045, 86432074, 0), 148), ((86432074, 86432084, 0), 177), ((86432084, 86432101, 0), 188), ((86432101, 86432105, 0), 200), ((86432105, 86406781, 0), 204), ((86406781, 86430492, 0), 271), ((86430492, 86432131, 0), 275), ((86432131, 86431158, 0), 278), ((86431158, 86413439, 0), 310), ((86413439, 86375113, 0), 319), ('GOAL', 86375113, 319), ('GOAL', 86375113, None)]
9	[((5578516768, 86455377, 0), 0), ((86455377, 86470716, 0), 5), ((86470716, 86470720, 0), 7), ((86470720, 86470726, 0), 9), ((86470726, 86470733, 0), 11), ((86470733, 86508424, 0), 26), ((86508424, 86508420, 0), 29), ((86508420, 86484420, 0), 33), ((86484420, 86508407, 0), 37), ((86508407, 86426504, 0), 46), ((86426504, 86426497, 0), 49), ((86426497, 86426495, 0), 65), ((86426495, 86431937, 0), 67), ((86431937, 86431956, 0), 105), ((86431956, 86431970, 0), 130), ((86431970, 86431978, 0), 143), ((86431978, 86431980, 0), 159), ((86431980, 86431990, 0), 161), ((86431990, 86431997, 0), 173), ((86431997, 5406929331, 0), 183), ((5406929331, 86432015, 0), 192), ((86432015, 86432019, 0), 197), ((86432019, 86432023, 0), 198), ((86432023, 86432036, 0), 203), ((86432036, 86432045, 0), 211), ((86432045, 86432074, 0), 221), ((86432074, 86432084, 0), 250), ((86432084, 86432101, 0), 261), ((86432101, 86432105, 0), 273), ((86432105, 86406781, 0), 290), ((86406781, 86430492, 0), 405), ((86430492, 86432131, 0), 409), ((86432131, 86431158, 0), 411), ((86431158, 86413439, 0), 444), ((86413439, 86375113, 0), 453), ('GOAL', 86375113, 453)]
